CA_name,YYYYQ_DOC,Mort_Amt
Chicago Lawn          ,20074,148729.0
Chicago Lawn          ,20081,157650.0
Chicago Lawn          ,20082,134000.0
Chicago Lawn          ,20083,133119.0
Chicago Lawn          ,20084,142796.0
Chicago Lawn          ,20091,134250.0
Chicago Lawn          ,20092,114573.0
Chicago Lawn          ,20093,116530.5
Chicago Lawn          ,20094,117012.0
Chicago Lawn          ,20101,110000.0
Chicago Lawn          ,20102,108272.5
Chicago Lawn          ,20103,112057.5
Chicago Lawn          ,20104,90000.0
Chicago Lawn          ,20111,90000.0
Chicago Lawn          ,20112,99388.5
Chicago Lawn          ,20113,100960.0
Chicago Lawn          ,20114,90642.0
Chicago Lawn          ,20121,102111.0
Chicago Lawn          ,20122,112293.0
Chicago Lawn          ,20123,108156.0
Chicago Lawn          ,20124,123680.0
Clearing              ,20051,150000.0
Clearing              ,20052,131200.0
Clearing              ,20053,140000.0
Clearing              ,20054,160000.0
Clearing              ,20061,137000.0
Clearing              ,20062,111875.0
Clearing              ,20063,117000.0
Clearing              ,20064,120000.0
Clearing              ,20071,134000.0
Clearing              ,20072,156300.0
Clearing              ,20073,141200.0
Clearing              ,20074,181500.0
Clearing              ,20081,183207.0
Clearing              ,20082,154000.0
Clearing              ,20083,157000.0
Clearing              ,20084,154830.0
Clearing              ,20091,186558.0
Clearing              ,20092,184500.0
Clearing              ,20093,173000.0
Clearing              ,20094,175018.0
Clearing              ,20101,153100.0
Clearing              ,20102,157058.0
Clearing              ,20103,162807.0
Clearing              ,20104,162800.0
Clearing              ,20111,151200.0
Clearing              ,20112,136100.0
Clearing              ,20113,145770.5
Clearing              ,20114,140000.0
Clearing              ,20121,138072.5
Clearing              ,20122,158135.0
Clearing              ,20123,156120.0
Clearing              ,20124,136482.0
Douglas               ,20051,195000.0
Douglas               ,20052,160625.0
Douglas               ,20053,219700.0
Douglas               ,20054,183750.0
Douglas               ,20061,192000.0
Douglas               ,20062,150000.0
Douglas               ,20063,212000.0
Douglas               ,20064,193950.0
Douglas               ,20071,240000.0
Douglas               ,20072,253600.0
Douglas               ,20073,227000.0
Douglas               ,20074,208250.0
Douglas               ,20081,256000.0
Douglas               ,20082,200848.0
Douglas               ,20083,235913.0
Douglas               ,20084,302500.0
Douglas               ,20091,265500.0
Douglas               ,20092,309700.0
Douglas               ,20093,281804.0
Douglas               ,20094,252504.0
Douglas               ,20101,324582.0
Douglas               ,20102,336830.0
Douglas               ,20103,227112.5
Douglas               ,20104,280049.0
Douglas               ,20111,225350.0
Douglas               ,20112,332675.0
Douglas               ,20113,170000.0
Douglas               ,20114,184000.0
Douglas               ,20121,192500.0
Douglas               ,20122,176595.0
Douglas               ,20123,182611.0
Douglas               ,20124,170471.0
Dunning               ,20051,195028.5
Dunning               ,20052,196201.0
Dunning               ,20053,200000.0
Dunning               ,20054,198750.0
Dunning               ,20061,163250.0
Dunning               ,20062,193600.0
Dunning               ,20063,175000.0
Dunning               ,20064,200000.0
Dunning               ,20071,200000.0
Dunning               ,20072,191550.0
Dunning               ,20073,177700.0
Dunning               ,20074,208000.0
Dunning               ,20081,223600.0
Dunning               ,20082,209000.0
Dunning               ,20083,200000.0
Dunning               ,20084,232216.0
Dunning               ,20091,199200.0
Dunning               ,20092,207250.0
Dunning               ,20093,181600.0
Dunning               ,20094,184000.0
Dunning               ,20101,175000.0
Dunning               ,20102,194253.0
Dunning               ,20103,187425.0
Dunning               ,20104,184000.0
Dunning               ,20111,160000.0
Dunning               ,20112,159900.0
Dunning               ,20113,160817.0
Dunning               ,20114,153000.0
Dunning               ,20121,164000.0
Dunning               ,20122,171915.0
Dunning               ,20123,173600.0
Dunning               ,20124,169875.0
East Garfield         ,20051,146650.0
East Garfield         ,20052,135750.0
East Garfield         ,20053,139000.0
East Garfield         ,20054,160000.0
East Garfield         ,20061,162460.0
East Garfield         ,20062,197000.0
East Garfield         ,20063,162175.0
East Garfield         ,20064,163000.0
East Garfield         ,20071,167000.0
East Garfield         ,20072,177500.0
East Garfield         ,20073,176250.0
East Garfield         ,20074,185625.0
East Garfield         ,20081,223135.0
East Garfield         ,20082,193200.0
East Garfield         ,20083,208021.0
East Garfield         ,20084,165625.0
East Garfield         ,20091,208750.0
East Garfield         ,20092,241600.0
East Garfield         ,20093,243750.0
East Garfield         ,20094,246000.0
East Garfield         ,20101,144586.0
East Garfield         ,20102,167690.0
East Garfield         ,20103,126500.0
East Garfield         ,20104,157500.0
East Garfield         ,20111,99300.0
East Garfield         ,20112,320400.0
East Garfield         ,20113,115004.0
East Garfield         ,20114,141324.0
East Garfield         ,20121,89859.0
East Garfield         ,20122,144995.0
East Garfield         ,20123,233850.0
East Garfield         ,20124,141655.5
East Side             ,20051,95000.0
East Side             ,20052,105000.0
East Side             ,20053,101453.0
East Side             ,20054,99000.0
East Side             ,20061,92100.0
East Side             ,20062,105526.0
East Side             ,20063,95930.0
East Side             ,20064,111920.0
East Side             ,20071,120000.0
East Side             ,20072,103000.0
East Side             ,20073,114000.0
East Side             ,20074,109620.0
East Side             ,20081,125000.0
East Side             ,20082,104069.0
East Side             ,20083,110200.0
East Side             ,20084,119468.5
East Side             ,20091,134765.5
East Side             ,20092,110262.5
East Side             ,20093,115716.5
East Side             ,20094,103090.0
East Side             ,20101,111002.5
East Side             ,20102,101134.0
East Side             ,20103,97200.0
East Side             ,20104,99000.0
East Side             ,20111,91140.5
East Side             ,20112,99000.0
East Side             ,20113,96500.0
East Side             ,20114,80416.0
East Side             ,20121,83300.0
East Side             ,20122,76662.5
East Side             ,20123,79775.0
East Side             ,20124,108007.0
Edgewater             ,20051,254000.0
Edgewater             ,20052,249500.0
Edgewater             ,20053,218600.0
Edgewater             ,20054,213500.0
Edgewater             ,20061,202300.0
Edgewater             ,20062,250000.0
Edgewater             ,20063,230000.0
Edgewater             ,20064,250000.0
Edgewater             ,20071,255000.0
Edgewater             ,20072,253525.0
Edgewater             ,20073,250000.0
Edgewater             ,20074,253524.0
