CA_name,PTYPE2011,bldg_assmt_11_psf
West Elsdon                             ,SINGLE FAMILY,15.03488329908636
West Elsdon                             ,TOWN HOUSE,10.651501766784452
West Elsdon                             ,VACANT LAND,
West Englewood                          ,2-6 UNIT,6.2837243401759535
West Englewood                          ,7+ UNIT,inf
West Englewood                          ,COMM/IND,inf
West Englewood                          ,CONDO,inf
West Englewood                          ,NON PROFIT,inf
West Englewood                          ,SINGLE FAMILY,7.622680412371134
West Englewood                          ,TOWN HOUSE,4.485019841269841
West Englewood                          ,VACANT LAND,inf
West Garfield                           ,2-6 UNIT,6.5599933433183555
West Garfield                           ,7+ UNIT,inf
West Garfield                           ,COMM/IND,inf
West Garfield                           ,CONDO,inf
West Garfield                           ,SINGLE FAMILY,7.861677273716275
West Garfield                           ,TOWN HOUSE,9.606638970348648
West Garfield                           ,VACANT LAND,inf
West Lawn                               ,2-6 UNIT,11.475962906385192
West Lawn                               ,7+ UNIT,inf
West Lawn                               ,COMM/IND,inf
West Lawn                               ,CONDO,inf
West Lawn                               ,SINGLE FAMILY,14.773112220859481
West Lawn                               ,VACANT LAND,
West Pullman                            ,2-6 UNIT,5.336860670194003
West Pullman                            ,7+ UNIT,inf
West Pullman                            ,COMM/IND,inf
West Pullman                            ,CONDO,inf
West Pullman                            ,SINGLE FAMILY,7.808739218670725
West Pullman                            ,TOWN HOUSE,7.993844049247606
West Pullman                            ,VACANT LAND,8.074239713774597
West Ridge                              ,2-6 UNIT,9.398689516129032
West Ridge                              ,7+ UNIT,inf
West Ridge                              ,COMM/IND,inf
West Ridge                              ,CONDO,inf
